epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1245.29,0.8924,0.98056,1.08826,0.97029,0.99171,0.98944,0.69403,1.14665,0.49894,1.15292,0.0005941,0.0005941,0.0005941
43,1274.39,0.88543,0.9661,1.08288,0.9671,0.98905,0.98997,0.67199,1.21458,0.50704,1.20033,0.0005842,0.0005842,0.0005842
44,1303.61,0.88194,0.948,1.08085,0.97127,0.99044,0.98985,0.73863,0.98662,0.45628,1.07219,0.0005743,0.0005743,0.0005743
45,1332.71,0.87356,0.94319,1.07802,0.96897,0.99092,0.98966,0.755,0.93129,0.45161,1.04295,0.0005644,0.0005644,0.0005644
46,1361.81,0.87807,0.92791,1.07849,0.97124,0.99062,0.98991,0.74389,0.97832,0.45333,1.06752,0.0005545,0.0005545,0.0005545
47,1390.87,0.87998,0.93309,1.07965,0.97564,0.99066,0.98998,0.70796,1.08152,0.47942,1.12531,0.0005446,0.0005446,0.0005446
48,1419.85,0.88557,0.91903,1.07839,0.97224,0.99195,0.99062,0.70288,1.10692,0.47276,1.13401,0.0005347,0.0005347,0.0005347
49,1449.1,0.87096,0.90271,1.0732,0.96685,0.99119,0.99006,0.73276,1.01143,0.45907,1.08337,0.0005248,0.0005248,0.0005248
50,1478.12,0.87192,0.90114,1.08016,0.96396,0.99002,0.99082,0.73865,0.99797,0.4541,1.07801,0.0005149,0.0005149,0.0005149
51,1507.43,0.87838,0.90589,1.07894,0.96254,0.99337,0.99021,0.72309,1.0503,0.46237,1.10459,0.000505,0.000505,0.000505
52,1536.53,0.87445,0.89847,1.0766,0.97068,0.99139,0.98964,0.68451,1.17066,0.47975,1.17786,0.0004951,0.0004951,0.0004951
53,1565.95,0.86929,0.87922,1.07879,0.97068,0.99183,0.98948,0.72662,1.02759,0.44881,1.09297,0.0004852,0.0004852,0.0004852
54,1595.25,0.85535,0.86994,1.06838,0.97109,0.98793,0.99035,0.69778,1.12884,0.46983,1.15544,0.0004753,0.0004753,0.0004753
55,1623.97,0.8475,0.87091,1.07057,0.97122,0.99067,0.98984,0.70442,1.11222,0.46664,1.14167,0.0004654,0.0004654,0.0004654
56,1653.03,0.86461,0.87618,1.06923,0.96263,0.99156,0.99024,0.71899,1.05895,0.45411,1.10648,0.0004555,0.0004555,0.0004555
57,1681.83,0.84898,0.86363,1.0695,0.97579,0.98871,0.98974,0.71896,1.06706,0.45372,1.11598,0.0004456,0.0004456,0.0004456
58,1710.67,0.84313,0.85025,1.05883,0.96886,0.99171,0.99057,0.73181,1.01603,0.44722,1.0815,0.0004357,0.0004357,0.0004357
59,1739.52,0.85627,0.84845,1.06191,0.97462,0.99076,0.99043,0.70952,1.09124,0.45154,1.12989,0.0004258,0.0004258,0.0004258
60,1768.25,0.84531,0.84723,1.06536,0.97044,0.98953,0.99083,0.71181,1.08513,0.45066,1.12131,0.0004159,0.0004159,0.0004159
61,1797.7,0.83864,0.84503,1.06263,0.97372,0.9925,0.99066,0.68701,1.15811,0.46132,1.17348,0.000406,0.000406,0.000406
62,1827.21,0.84163,0.83113,1.05733,0.9715,0.99321,0.99011,0.69508,1.13995,0.4544,1.15597,0.0003961,0.0003961,0.0003961
63,1856.25,0.84308,0.83663,1.06363,0.97163,0.9911,0.99063,0.71294,1.07651,0.44913,1.12568,0.0003862,0.0003862,0.0003862
64,1885.29,0.84552,0.83424,1.06364,0.97266,0.99299,0.991,0.71402,1.0682,0.43596,1.12076,0.0003763,0.0003763,0.0003763
65,1914.48,0.83058,0.8179,1.05997,0.97317,0.99204,0.9908,0.69644,1.12606,0.44785,1.15723,0.0003664,0.0003664,0.0003664
